ImageId,Label
1,2
2,0
3,4
4,7
5,2
6,7
7,0
8,4
9,0
10,4
11,6
12,7
13,7
14,0
15,4
16,0
17,6
18,1
19,7
20,0
21,7
22,1
23,1
24,0
25,7
26,9
27,2
28,7
29,8
30,7
31,7
32,6
33,9
34,2
35,0
36,8
37,0
38,0
39,8
40,0
41,7
42,7
43,4
44,7
45,2
46,7
47,8
48,2
49,2
50,1
51,2
52,8
53,2
54,3
55,8
56,2
57,1
58,8
59,0
60,0
61,7
62,1
63,7
64,0
65,0
66,0
67,1
68,4
69,0
70,1
71,6
72,0
73,3
74,8
75,2
76,3
77,4
78,7
79,2
80,2
81,6
82,8
83,1
84,0
85,7
86,2
87,4
88,8
89,0
90,7
91,8
92,2
93,2
94,2
95,1
96,1
97,4
98,4
99,7
100,7
101,0
102,8
103,2
104,0
105,7
106,7
107,0
108,0
109,0
110,4
111,0
112,0
113,4
114,1
115,1
116,8
117,1
118,1
119,2
120,8
121,8
122,7
123,2
124,1
125,2
126,3
127,8
128,7
129,2
130,7
131,4
132,6
133,2
134,0
135,0
136,0
137,8
138,1
139,3
140,0
141,4
142,8
143,7
144,4
145,2
146,2
147,7
148,7
149,8
150,2
151,3
152,8
153,7
154,2
155,4
156,3
157,7
158,4
159,7
160,2
161,4
162,0
163,4
164,0
165,1
166,8
167,7
168,2
169,4
170,0
171,5
172,7
173,3
174,2
175,1
176,8
177,7
178,8
179,1
180,2
181,7
182,8
183,2
184,2
185,4
186,7
187,2
188,1
189,2
190,0
191,2
192,1
193,9
194,3
195,0
196,0
197,7
198,7
199,0
200,7
201,1
202,8
203,0
204,8
205,7
206,0
207,8
208,4
209,0
210,8
211,0
212,7
213,4
214,2
215,7
216,2
217,1
218,2
219,8
220,7
221,8
222,8
223,1
224,0
225,2
226,2
227,8
228,0
229,2
230,0
231,0
232,4
233,7
234,1
235,8
236,2
237,4
238,8
239,8
240,6
241,8
242,2
243,2
244,2
245,7
246,4
247,7
248,8
249,8
250,0
251,7
252,7
253,1
254,7
255,2
256,7
257,2
258,1
259,9
260,2
261,2
262,4
263,8
264,0
265,8
266,0
267,0
268,2
269,0
270,1
271,2
272,0
273,2
274,4
275,8
276,4
277,2
278,0
279,8
280,4
281,0
282,7
283,2
284,0
285,4
286,3
287,7
288,8
289,4
290,7
291,2
292,7
293,7
294,7
295,7
296,0
297,8
298,0
299,0
300,2
301,0
302,9
303,2
304,2
305,2
306,8
307,7
308,1
309,7
310,2
311,8
312,2
313,3
314,7
315,0
316,7
317,8
318,3
319,1
320,2
321,4
322,1
323,1
324,7
325,8
326,4
327,4
328,1
329,4
330,7
331,2
332,8
333,1
334,2
335,0
336,4
337,0
338,0
339,2
340,0
341,6
342,8
343,1
344,2
345,2
346,0
347,0
348,2
349,8
350,2
351,2
352,7
353,7
354,2
355,7
356,2
357,4
358,3
359,2
360,1
361,8
362,2
363,4
364,8
365,4
366,8
367,8
368,8
369,1
370,2
371,8
372,3
373,7
374,7
375,7
376,6
377,7
378,0
379,8
380,8
381,6
382,2
383,2
384,4
385,2
386,2
387,2
388,1
389,3
390,7
391,1
392,7
393,9
394,7
395,0
396,1
397,1
398,1
399,7
400,4
401,7
402,7
403,6
404,1
405,2
406,1
407,3
408,3
409,2
410,0
411,2
412,6
413,4
414,1
415,2
416,7
417,1
418,1
419,3
420,6
421,4
422,2
423,0
424,0
425,3
426,1
427,8
428,7
429,7
430,7
431,4
432,2
433,4
434,2
435,2
436,2
437,8
438,4
439,2
440,0
441,2
442,4
443,7
444,4
445,3
446,4
447,1
448,2
449,8
450,7
451,7
452,7
453,0
454,7
455,4
456,4
457,2
458,4
459,7
460,2
461,2
462,7
463,2
464,0
465,0
466,1
467,7
468,7
469,4
470,1
471,1
472,4
473,3
474,0
475,0
476,5
477,1
478,2
479,2
480,0
481,4
482,8
483,2
484,2
485,7
486,7
487,7
488,8
489,8
490,8
491,4
492,4
493,2
494,4
495,2
496,7
497,2
498,8
499,8
500,0
501,0
502,2
503,7
504,4
505,1
506,2
507,2
508,8
509,0
510,0
511,7
512,2
513,2
514,7
515,2
516,8
517,1
518,7
519,4
520,0
521,8
522,7
523,0
524,7
525,1
526,1
527,0
528,1
529,1
530,7
531,0
532,7
533,8
534,2
535,8
536,0
537,0
538,5
539,7
540,1
541,0
542,2
543,2
544,2
545,0
546,4
547,0
548,7
549,2
550,2
551,1
552,3
553,0
554,4
555,0
556,0
557,7
558,2
559,2
560,2
561,0
562,8
563,2
564,1
565,2
566,2
567,3
568,2
569,2
570,4
571,2
572,2
573,4
574,6
575,0
576,4
577,2
578,8
579,4
580,8
581,6
582,1
583,3
584,2
585,7
586,1
587,8
588,2
589,8
590,4
591,2
592,8
593,1
594,0
595,2
596,0
597,0
598,0
599,0
600,0
601,2
602,1
603,7
604,2
605,2
606,8
607,2
608,0
609,0
610,8
611,7
612,4
613,8
614,2
615,2
616,4
617,7
618,0
619,0
620,7
621,2
622,2
623,7
624,4
625,0
626,8
627,1
628,0
629,0
630,8
631,2
632,1
633,2
634,0
635,1
636,4
637,7
638,7
639,2
640,8
641,0
642,4
643,7
644,2
645,7
646,8
647,4
648,4
649,1
650,2
651,7
652,8
653,0
654,6
655,8
656,8
657,4
658,8
659,8
660,7
661,2
662,3
663,4
664,0
665,4
666,2
667,1
668,8
669,3
670,0
671,8
672,7
673,4
674,4
675,6
676,7
677,7
678,6
679,2
680,0
681,0
682,7
683,2
684,2
685,1
686,7
687,4
688,0
689,7
690,7
691,8
692,0
693,0
694,2
695,8
696,9
697,2
698,7
699,8
700,2
701,7
702,0
703,0
704,0
705,0
706,0
707,4
708,7
709,2
710,0
711,2
712,2
713,1
714,2
715,8
716,6
717,2
718,8
719,8
720,8
721,7
722,8
723,1
724,0
725,1
726,0
727,0
728,8
729,7
730,0
731,7
732,1
733,8
734,2
735,8
736,7
737,1
738,2
739,1
740,2
741,9
742,4
743,8
744,7
745,3
746,7
747,2
748,7
749,8
750,0
751,4
752,7
753,4
754,4
755,1
756,3
757,7
758,1
759,1
760,2
761,8
762,0
763,4
764,0
765,4
766,0
767,0
768,2
769,1
770,8
771,2
772,2
773,0
774,2
775,0
776,3
777,9
778,0
779,4
780,1
781,1
782,0
783,4
784,2
785,4
786,2
787,2
788,3
789,8
790,2
791,2
792,0
793,4
794,0
795,4
796,4
797,1
798,2
799,7
800,7
801,1
802,1
803,8
804,3
805,2
806,7
807,7
808,0
809,4
810,1
811,0
812,3
813,8
814,8
815,4
816,4
817,0
818,7
819,7
820,2
821,8
822,0
823,4
824,0
825,1
826,7
827,0
828,4
829,8
830,2
831,2
832,8
833,2
834,4
835,8
836,7
837,0
838,2
839,2
840,8
841,1
842,7
843,0
844,2
845,8
846,2
847,7
848,2
849,3
850,5
851,8
852,7
853,7
854,7
855,2
856,2
857,1
858,8
859,4
860,2
861,0
862,4
863,1
864,4
865,8
866,4
867,0
868,9
869,8
870,4
871,4
872,2
873,4
874,3
875,2
876,8
877,1
878,1
879,0
880,1
881,4
882,4
883,2
884,1
885,8
886,8
887,1
888,2
889,4
890,7
891,1
892,7
893,0
894,0
895,4
896,0
897,7
898,2
899,1
900,1
901,2
902,2
903,4
904,7
905,4
906,7
907,8
908,8
909,2
910,7
911,8
912,4
913,4
914,8
915,2
916,2
917,4
918,0
919,1
920,0
921,7
922,8
923,2
924,7
925,4
926,7
927,7
928,0
929,0
930,8
931,4
932,2
933,2
934,4
935,2
936,4
937,7
938,7
939,4
940,2
941,0
942,2
943,0
944,1
945,0
946,7
947,8
948,8
949,7
950,2
951,2
952,7
953,2
954,2
955,8
956,2
957,8
958,2
959,0
960,2
961,7
962,7
963,4
964,0
965,4
966,8
967,1
968,2
969,8
970,0
971,7
972,2
973,4
974,2
975,1
976,0
977,8
978,0
979,7
980,4
981,4
982,2
983,7
984,4
985,7
986,8
987,0
988,4
989,8
990,2
991,1
992,7
993,8
994,2
995,2
996,4
997,2
998,2
999,2
1000,7
1001,0
1002,7
1003,0
1004,7
1005,1
1006,8
1007,4
1008,2
1009,2
1010,7
1011,2
1012,0
1013,4
1014,7
1015,2
1016,7
1017,2
1018,8
1019,4
1020,3
1021,2
1022,7
1023,3
1024,2
1025,2
1026,0
1027,1
1028,0
1029,2
1030,1
1031,8
1032,1
1033,8
1034,4
1035,4
1036,2
1037,4
1038,2
1039,6
1040,0
1041,1
1042,0
1043,1
1044,7
1045,0
1046,2
1047,7
1048,7
1049,2
1050,6
1051,2
1052,2
1053,8
1054,4
1055,7
1056,1
1057,1
1058,8
1059,0
1060,0
1061,0
1062,0
1063,8
1064,0
1065,7
1066,4
1067,7
1068,0
1069,2
1070,7
1071,2
1072,2
1073,7
1074,0
1075,7
1076,2
1077,6
1078,2
1079,2
1080,7
1081,4
1082,0
1083,2
1084,2
1085,7
1086,7
1087,2
1088,2
1089,4
1090,1
1091,3
1092,1
1093,0
1094,1
1095,7
1096,6
1097,8
1098,4
1099,4
1100,6
1101,4
1102,2
1103,7
1104,1
1105,8
1106,8
1107,0
1108,0
1109,4
1110,0
1111,7
1112,2
1113,4
1114,1
1115,0
1116,3
1117,3
1118,2
1119,6
1120,7
1121,2
1122,2
1123,4
1124,1
1125,2
1126,4
1127,2
1128,0
1129,1
1130,1
1131,5
1132,2
1133,8
1134,4
1135,3
1136,6
1137,2
1138,8
1139,8
1140,7
1141,0
1142,0
1143,2
1144,1
1145,2
1146,2
1147,7
1148,5
1149,2
1150,2
1151,2
1152,7
1153,3
1154,4
1155,8
1156,3
1157,7
1158,1
1159,2
1160,4
1161,7
1162,1
1163,4
1164,0
1165,2
1166,9
1167,8
1168,2
1169,4
1170,0
1171,2
1172,8
1173,7
1174,1
1175,2
1176,2
1177,8
1178,7
1179,2
1180,2
1181,8
1182,2
1183,4
1184,7
1185,0
1186,7
1187,0
1188,8
1189,2
1190,7
1191,7
1192,0
1193,4
1194,2
1195,8
1196,8
1197,2
1198,2
1199,4
1200,4
1201,6
1202,8
1203,4
1204,0
1205,1
1206,8
1207,7
1208,2
1209,7
1210,0
1211,6
1212,8
1213,2
1214,4
1215,2
1216,7
1217,6
1218,8
